source,target
1,158
1,502
2,158
2,502
3,624
3,123
3,166
4,123
4,624
4,166
5,166
5,624
5,123
6,119
6,717
7,119
7,717
8,118
8,37
8,232
8,578
9,4
10,4
25,145
26,145
27,620
29,125
29,125
29,717
29,96
29,109
30,717
30,96
30,109
30,125
30,125
31,125
31,97
32,97
32,125
33,125
33,97
34,717
34,96
34,717
34,96
35,717
35,96
35,717
35,96
36,717
36,96
36,717
36,96
41,123
41,125
41,717
42,717
42,123
42,125
43,88
43,125
43,232
43,107
43,125
43,125
44,232
44,107
44,125
44,88
44,125
44,125
45,125
45,88
45,125
45,232
45,107
45,125
46,84
46,717
46,352
46,717
47,352
47,717
47,84
47,717
48,84
48,717
48,352
48,717
49,379
49,241
50,241
50,379
51,241
51,379
52,241
52,379
53,578
53,541
54,578
54,541
57,717
57,247
58,717
58,247
59,717
59,247
64,65
64,65
64,188
65,64
65,527
66,322
67,322
68,393
68,877
69,717
69,99
69,717
69,125
70,717
70,99
70,717
70,125
71,99
71,717
71,717
71,125
72,125
72,717
72,99
72,717
73,717
73,99
73,717
73,125
74,119
74,127
74,117
74,119
74,717
74,90
75,119
75,717
75,90
75,119
75,127
75,117
76,717
76,109
76,498
76,717
76,96
76,36
76,81
77,498
77,717
77,96
77,36
77,81
77,717
77,109
78,81
78,498
78,717
78,96
78,36
78,717
78,109
79,125
80,717
80,96
80,401
81,77
81,127
81,123
82,77
82,110
83,97
83,94
83,717
83,102
83,125
84,94
84,717
84,97
84,102
84,125
85,102
85,125
85,97
85,94
85,717
86,123
87,717
88,717
89,86
89,97
90,113
90,117
90,109
90,880
91,717
91,109
92,717
92,109
93,117
93,109
93,717
94,84
94,717
94,350
94,294
95,350
95,294
95,84
95,717
96,108
96,78
97,108
97,78
99,97
99,71
99,77
99,84
99,122
99,102
99,126
99,69
99,117
100,102
100,126
100,69
100,77
100,84
100,122
100,97
100,71
100,117
101,77
101,84
101,122
101,97
101,71
101,102
101,126
101,69
101,117
102,84
102,110
103,99
103,71
103,127
104,7
104,90
104,498
104,90
104,232
104,109
105,498
105,90
105,7
105,90
105,232
105,109
106,232
106,109
106,7
106,90
106,498
106,90
107,102
108,119
108,717
109,8
109,96
110,8
110,96
111,8
111,96
112,96
112,35
113,110
113,90
113,125
113,81
113,717
114,90
114,125
114,110
114,81
114,717
115,81
115,717
115,110
115,90
115,125
116,69
117,108
117,250
117,109
118,434
118,123
118,717
118,434
118,169
118,753
119,434
119,434
119,123
119,717
119,169
119,753
120,81
120,294
120,72
120,81
120,717
120,117
121,81
121,81
121,294
121,72
121,717
121,117
122,717
122,117
122,81
122,294
122,72
122,81
123,89
123,96
123,671
123,732
123,179
123,108
124,89
124,96
124,671
124,732
124,179
124,108
125,179
125,89
125,96
125,671
125,732
125,108
126,108
126,89
126,96
126,671
126,732
126,179
127,117
128,717
128,96
128,168
129,168
129,717
129,96
130,677
130,439
130,638
131,638
131,677
131,439
132,130
132,677
133,638
133,400
133,775
134,400
134,775
134,638
135,140
135,400
136,538
136,16
137,538
137,16
138,538
138,16
139,347
139,144
139,400
139,242
139,145
139,145
140,144
140,400
140,242
140,347
140,145
140,145
141,145
141,347
141,144
141,400
141,242
141,145
142,489
143,489
144,376
144,152
145,376
145,152
146,362
146,243
147,243
147,362
148,362
148,243
149,400
150,400
150,714
151,400
151,714
152,140
152,502
152,159
152,502
152,376
153,140
153,502
153,159
153,502
153,376
154,159
154,502
154,140
154,502
154,376
155,376
155,140
155,502
155,159
155,502
158,109
158,58
158,240
158,307
159,502
159,270
159,157
159,446
164,714
165,169
165,350
165,717
165,96
165,294
166,169
166,350
166,717
166,96
166,294
167,350
167,717
167,96
167,169
167,294
168,294
168,169
168,350
168,717
168,96
169,113
169,624
169,97
169,97
169,124
170,624
170,97
170,113
170,97
170,124
171,113
171,624
171,97
171,97
171,124
172,113
172,624
172,97
172,97
172,124
173,97
173,124
173,113
173,624
173,97
174,179
175,178
177,179
178,174
179,181
179,603
180,181
180,603
182,183
184,179
185,127
186,696
186,368
186,307
186,698
187,368
187,307
187,698
187,696
189,202
189,380
189,192
190,192
190,202
190,380
191,202
191,522
192,289
192,572
193,202
193,192
193,290
193,779
193,861
193,192
193,289
194,779
194,861
194,202
194,192
194,290
194,192
194,289
195,717
195,124
196,671
197,380
197,202
197,202
198,192
198,289
199,188
199,289
199,479
199,295
199,192
199,289
199,202
199,896
200,896
200,188
200,289
200,479
200,295
200,192
200,289
200,202
201,638
202,288
204,383
204,689
204,382
204,382
204,688
204,208
204,697
204,382
204,688
204,692
204,293
204,748
204,937
204,688
204,721
204,937
204,382
204,937
204,293
205,382
205,688
205,208
205,697
205,382
205,688
205,692
205,293
205,748
205,937
205,383
205,689
205,382
205,688
205,721
205,937
205,382
205,937
205,293
206,688
206,382
206,697
207,697
207,688
207,382
208,688
208,697
208,204
209,689
209,206
211,393
211,877
212,393
212,303
213,392
217,444
219,237
219,378
219,578
220,237
220,378
220,578
221,237
221,378
221,578
222,578
222,237
222,378
223,237
223,378
223,578
225,123
226,119
226,671
226,899
227,119
227,671
227,899
229,790
229,393
230,10
230,636
230,97
230,123
230,717
231,97
231,123
231,717
231,636
231,10
232,636
232,97
232,123
232,717
232,10
233,636
233,97
233,123
233,717
233,10
234,636
234,97
234,123
234,717
234,10
235,231
235,717
236,231
236,717
237,435
237,158
238,435
238,158
245,368
245,368
245,368
245,61
245,622
245,368
246,49
247,49
248,371
249,371
250,77
251,269
251,254
251,263
251,269
252,263
252,269
252,269
252,254
253,269
253,254
253,263
253,269
254,269
255,764
255,833
256,764
256,833
258,266
260,262
260,263
260,266
261,263
261,266
261,262
262,260
262,266
262,254
262,269
263,266
263,254
263,269
263,260
264,263
264,260
264,269
265,269
265,263
265,260
267,787
267,764
269,833
269,862
270,108
270,714
271,97
271,671
271,102
271,350
271,125
271,98
271,624
271,899
271,125
271,831
271,671
271,717
271,93
271,118
271,624
271,717
271,72
272,377
272,276
273,143
273,377
273,276
273,155
273,145
273,135
273,140
274,145
274,135
274,140
274,143
274,377
274,276
274,155
276,371
276,149
279,638
279,289
279,188
280,479
280,295
281,197
281,188
281,295
282,188
282,295
282,197
283,666
283,296
284,666
284,296
285,296
285,666
286,280
286,202
286,197
286,380
286,197
286,450
287,202
287,197
287,280
287,380
287,197
287,450
288,380
288,197
288,450
288,280
288,202
288,197
289,291
289,192
289,479
289,572
290,192
290,638
291,289
291,192
291,202
292,192
292,572
293,690
293,381
293,691
293,383
294,644
294,644
294,644
300,7
300,109
301,7
301,109
302,7
302,109
303,393
304,312
304,686
305,686
305,312
306,312
306,686
307,322
307,321
307,560
308,304
308,654
308,432
308,643
308,682
308,371
308,643
308,682
308,654
308,655
308,643
308,682
309,654
309,655
309,643
309,682
309,304
309,654
309,432
309,643
309,682
309,371
309,643
309,682
310,57
311,305
311,109
311,304
311,641
311,305
311,685
311,578
311,306
312,304
312,641
312,305
312,685
312,578
312,305
312,109
312,306
313,314
314,313
315,316
315,332
316,315
316,629
316,628
317,641
317,686
317,457
317,455
318,457
318,317
318,319
319,561
319,322
319,560
320,561
320,322
320,560
321,560
321,561
321,322
323,306
323,651
323,677
323,327
323,307
323,304
323,312
